id,zone,year,multi,height,day,depth
B1,B,2002,yes,2.7,8,0.33
B10,B,2001,yes,2,25,0.25
B111,B,2002,no,2,10,0.2
B112,B,2002,no,1.9,6,0.25
B115,B,2001,no,2.1,28,0.33
B116,B,2001,no,2.5,23,0.4
B118,B,2002,no,1.9,10,0.2
B121,B,2002,yes,2.2,10,0.2
B123,B,2002,no,2.4,11,0.2
B126,B,2002,yes,2.3,7,0.33
B13,B,2002,yes,2.6,18,0.5
B141,B,2002,yes,1.5,19,0.33
B142A,B,2002,no,2.7,11,0.33
B143,B,2001,yes,2,32,0.25
B148,B,2002,yes,2.6,7,0.25
B149,B,2001,yes,2.8,27,0.33
B15,B,2002,yes,2.8,4,0.25
B153,B,2001,yes,3,23,0.25
B156,B,2002,no,2.7,17,0.5
B157,B,2001,no,1.8,28,0.33
B157,B,2002,yes,1.8,5,0.4
B158,B,2002,yes,1.7,19,0.33
B16,B,2002,no,2.3,8,0.2
B162,B,2002,no,2,16,0.25
B166,B,2001,no,2,24,0.25
B173,B,2002,no,2.5,5,0.2
B176,B,2002,yes,2.4,8,0.2
B178,B,2002,yes,2.2,8,0.33
B181,B,2002,no,1.9,10,0.25
B185,B,2002,yes,2.4,10,0.4
B187,B,2003,no,2.4,10,0.2
B195,B,2002,no,2.2,7,0.25
B196,B,2001,no,2.6,33,0.5
B2,B,2002,no,1.8,12,0.2
B20,B,2001,no,2,29,0.33
B204,B,2001,no,2.4,30,0.25
B211,B,2002,yes,1.9,7,0.25
B213,B,2002,yes,2.6,8,0.25
B218,B,2001,no,2.3,32,0.25
B222,B,2002,no,1.8,13,0.4
B223,B,2001,yes,2.6,32,0.33
B223,B,2002,yes,2.4,10,0.25
B228,B,2001,yes,2.6,24,0.25
B229,B,2002,no,1.9,14,0.5
B25,B,2001,no,2.3,33,0.25
B26,B,2001,yes,2,23,0.4
B33,B,2002,yes,1.9,12,0.4
B37,B,2002,no,1.9,18,0.33
B40,B,2001,yes,2.2,24,0.25
B40,B,2002,yes,1.9,17,0.2
B46,B,2002,no,2.1,12,0.25
B56,B,2003,yes,2.7,12,0.33
B57,B,2002,no,2.2,9,0.25
B60,B,2001,no,2.2,30,0.4
B60,B,2002,no,2.2,13,0.2
B62A,B,2002,yes,2.6,11,0.25
B63,B,2002,yes,2.6,12,0.25
B66,B,2002,yes,1.9,10,0.2
B67,B,2002,no,2.6,17,0.4
B70,B,2002,no,2.7,13,0.6
B76,B,2001,no,2.8,31,0.33
B78,B,2001,yes,2.6,27,0.5
B8,B,2002,no,2,11,0.25
B80,B,2001,no,1.9,33,0.25
B84,B,2001,yes,2.4,28,0.33
B87,B,2002,no,2.4,14,0.4
B90,B,2002,no,2,4,0.2
B93,B,2002,no,2.1,8,0.33
B96,B,2002,no,2.5,4,0.4
B99A,B,2002,no,2.2,6,0.4
C104,C,2002,no,2.2,7,0.4
C107,C,2001,no,2.8,26,0.5
C111,C,2001,no,2.2,16,0.5
C116,C,2002,yes,2.7,2,0.4
C12,C,2002,yes,2.5,7,0.5
C122,C,2002,no,2.3,10,0.4
C129,C,2002,yes,2.3,8,0.2
C132,C,2002,no,1.7,2,0.4
C135,C,2003,no,2.5,13,0.4
C136,C,2003,no,2.6,13,0.4
C137,C,2001,no,2.3,30,0.25
C137,C,2002,no,2.4,7,0.4
C14,C,2002,no,2.4,10,0.25
C146,C,2002,no,2,13,0.2
C152,C,2002,no,2.7,8,0.5
C155,C,2001,no,2.5,23,0.5
C155,C,2002,yes,2.5,13,0.4
C158,C,2001,no,2.5,27,0.5
C16,C,2001,yes,2.5,22,0.33
C160A,C,2001,yes,2,24,0.4
C160A,C,2002,yes,1.9,8,0.4
C163,C,2002,no,2.3,5,0.2
C163,C,2003,no,2.1,15,0.2
C17,C,2001,no,2.5,28,0.25
C19,C,2002,yes,2.8,5,0.4
C24,C,2002,no,2,5,0.2
C24A,C,2002,yes,2.4,10,0.5
C24A,C,2003,no,2.5,8,0.5
C25,C,2001,no,2,25,0.5
C25,C,2002,yes,1.9,8,0.33
C26,C,2002,yes,1.9,6,0.25
C28,C,2003,no,2.7,12,0.5
C29,C,2002,yes,1.9,3,0.4
