pop,sex,wt,sl,spot
FL,M,12.10,75.9,1
UC,M,8.10,73.3,1
FL,F,17.70,83.3,1
HS,F,5.70,62.1,0
BP,F,3.77,52.9,0
CKL,M,10.30,74.3,0
BSS,M,4.90,56.7,0
6T,F,32.80,99.1,0
6T,M,37.50,108.7,0
LC,F,2.80,54.5,0
BP,F,1.10,37.5,0
FL,M,3.50,50.7,0
BROD,M,7.47,69.0,1
UC,M,11.90,84.0,1
BF,F,13.80,91.6,1
BP,F,6.00,60.5,0
CKL,F,5.70,61.2,0
BP,F,3.80,53.9,0
6T,M,29.30,100.9,0
HN,F,69.80,134.7,1
BP,F,3.30,51.1,0
CKAN,F,22.44,83.0,1
HN,M,73.20,136.6,1
BP,F,3.30,50.5,0
BP,F,57.70,116.4,1
UC,M,4.90,62.8,1
6T,F,33.60,107.5,0
LC,M,3.50,56.8,1
BF,M,9.20,69.8,1
HN,F,69.50,132.1,1
BF,M,33.80,102.3,1
HS,F,7.78,64.6,0
BROD,F,15.76,70.0,0
HS,F,6.80,67.1,0
BF,M,7.90,62.8,1
BF,F,12.50,72.7,0
HS,M,7.60,67.7,1
HS,M,5.70,59.0,1
LC,F,4.10,65.0,0
BP,M,2.10,44.4,0
BP,F,13.70,77.8,1
BSS,M,6.50,68.5,0
CS,M,15.20,88.9,1
BF,F,8.70,68.8,0
LC,F,3.30,56.6,0
HS,M,8.40,65.6,0
UC,F,10.83,78.2,0
BF,M,35.60,105.2,1
FL,M,9.10,68.0,1
6T,F,8.40,66.3,0
BF,F,17.70,85.7,1
CKL,F,9.20,71.5,0
BSR,F,18.80,86.6,0
LC,F,4.30,62.6,0
BF,M,39.10,97.2,1
BF,M,21.30,105.5,1
HS,M,7.40,65.6,1
BP,F,2.50,47.3,0
FL,F,12.90,75.4,0
HS,M,8.80,63.3,0
LC,M,6.60,70.7,1
6T,F,12.40,74.2,0
UC,M,2.00,48.9,0
HS,M,7.18,65.4,0
BP,M,6.14,62.3,0
HS,F,3.80,56.5,0
HS,F,8.73,69.5,0
BF,F,14.00,79.4,1
BSR,F,5.40,66.2,0
CS,M,16.10,91.3,1
UC,M,12.00,84.3,1
BP,F,5.00,59.1,0
6T,F,13.20,77.7,0
6T,F,18.10,83.5,0
BROD,M,32.23,86.0,1
CKL,F,16.00,81.6,0
HN,F,45.60,119.0,1
FL,F,2.20,46.2,0
FL,M,3.70,53.4,1
6T,F,40.80,112.5,0
BP,F,3.30,53.0,0
HS,M,7.10,66.9,0
HS,M,6.70,66.9,1
6T,M,26.60,93.9,1
6T,M,24.00,94.7,1
LC,M,7.90,75.1,0
BROD,M,14.64,70.0,1
FL,M,30.40,97.2,1
HN,F,62.40,132.7,0
HS,F,6.90,67.8,0
